category,player,role,metric,value,as_of_or_period,financial_model_use,source
solar,First Solar,module OEM,volume sold guidance,"18-20 GW",2025 guidance,supply availability and volume planning,https://www.businesswire.com/news/home/20250225031936/en/First-Solar-Inc.-Announces-Fourth-Quarter-and-Full-Year-2024-Financial-Results-and-2025-Guidance
solar,First Solar,module OEM,net bookings,"4.4 GW at 30.5 c/W",FY2024,demand certainty and ASP benchmark,https://www.businesswire.com/news/home/20250225031936/en/First-Solar-Inc.-Announces-Fourth-Quarter-and-Full-Year-2024-Financial-Results-and-2025-Guidance
solar,Trina Solar,module OEM,module shipments,65.21 GW,FY2023,supplier scale benchmark,https://www.trinasolar.com/us/resources/newsroom/2023-annual-report/
solar+storage,Canadian Solar/e-STORAGE,module+storage OEM,module shipments,31.1 GW,FY2024,supplier scale benchmark,https://www.sec.gov/Archives/edgar/data/1375877/000141057825001046/csiq-20241231x20f.htm
solar+storage,Canadian Solar/e-STORAGE,module+storage OEM,battery shipped volume,6.6 GWh,FY2024,storage throughput benchmark,https://www.sec.gov/Archives/edgar/data/1375877/000141057825001046/csiq-20241231x20f.htm
solar+storage,Canadian Solar/e-STORAGE,module+storage OEM,BESS manufacturing capacity,"20.0 GWh -> target 30.0 GWh",Dec-2024 to Dec-2025 target,supply ramp assumptions,https://www.sec.gov/Archives/edgar/data/1375877/000141057825001046/csiq-20241231x20f.htm
bess,Tesla Energy,storage OEM,storage deployments,46.7 GWh,FY2025,delivery capacity benchmark,https://ir.tesla.com/press-release/tesla-fourth-quarter-2025-production-deliveries-deployments
bess,Tesla Energy,storage OEM,megafactory capacity,"10,000 Megapacks/year (~40 GWh)",current stated,manufacturing scale baseline,https://www.tesla.com/megafactory
bess,Fluence,storage integrator,deployed storage,16.7 GWh,Jun-30-2025,deployment maturity benchmark,https://ir.fluenceenergy.com/news-releases/news-release-details/fluence-energy-inc-reports-third-quarter-2025-results-reaffirms/
bess,Fluence,storage integrator,contracted backlog,8.2 GW,Jun-30-2025,queue depth and schedule risk,https://ir.fluenceenergy.com/news-releases/news-release-details/fluence-energy-inc-reports-third-quarter-2025-results-reaffirms/
bess,Fluence,storage integrator,pipeline,114.3 GWh,Jun-30-2025,market depth and competition for slots,https://ir.fluenceenergy.com/news-releases/news-release-details/fluence-energy-inc-reports-third-quarter-2025-results-reaffirms/
